,City,Place
251252,Chennai,Aarupadai Veedu Temple
251262,Chengannur,Thrichittattu Mahavishnu Temple
251319,Chennai,Aadhi Arts
251345,Chennai,Abirami Mega Mall
251384,Chennai,Adeeswar Temple
251386,Chennai,Achalam Art Gallery
251388,Chennai,Adayar Broken Bridge
251399,Chennai,Adonai Shalom Church
251401,Chennai,Adikeshava Perumal Temple
251403,Chennai,Adipureeswarar Temple
251404,Chennai,"Agatheeswaran Akilandeswari Temple , Nungambakkam"
251406,Chennai,Adyar Library & Research Centre
251407,Chennai,Alsa Mall
251409,Chennai,Almighty Apostolic Faith Church
251410,Chennai,Adyar Poonga River Restoration Park
251424,Chennai,Ananthaa Padmanabha Swaamy Temple
251435,Chennai,Allied Arihant Mall
251437,Chennai,Ambattur Christian Assembly Hall
251438,Chennai,Ambur House Art Gallery
251461,Chennai,Ana's Boutique
251592,Chennai,Anderson Church
251595,Chennai,Anila Art & Craft
251597,Chennai,Anjaneyar Temple
251605,Chennai,Anna Memorial
251615,Chennai,Anna Nagar Tower Park
251662,Chennai,Anjaneya Temple Nanganallur
251692,Chennai,Anna Flyover
251697,Chennai,Arignar Anna Zoological Park
251727,Chennai,Annai Vailankanni Church
251729,Chennai,Apostolic Holy Rebeemer Church
251731,Chennai,Archaic Craft Collections
251734,Chennai,Appararao gallerirs
251737,Chennai,Aradhana Theatre
252161,Chennai,Armenian Church
252271,Chennai,Art Houz
252272,Chennai,Artsphere Contemporary
252274,Chennai,Arputhanathar Church
252276,Chennai,Art World Gallery
252278,Chennai,Arulmigu Agasthyar Temple
252281,Chennai,Art Mart
252283,Chennai,Arulmigu Kurungkaleeswarar - Vaikundavasap Perumal Temple
252287,Chennai,Arthanareeswarar Temple of Shiva
252290,Chennai,Arulmigu Sri Agatheeswarar Temple
252291,Chennai,Arulmigu Sri Muppathamman Temple
252298,Chennai,Ashtalakshmi Temple
252338,Chennai,Arulmigu Sakthi Vinayagar Temple
252364,Chennai,Arulmigu Sri Veera Anjanayer Temple
252366,Chennai,Aruna Janaki Mahal
252550,Chennai,B M Birla Planaturium
252580,Chennai,Athreyaa Art Gallery
252602,Chennai,Ayyappan Temple
252605,Chennai,Azhagar Perumal Kovil
252606,Chennai,Ayya Art Gallery
252658,Chennai,Besant Nagar Beach
252758,Chennai,Bala Murali Theatre
254256,Chennai,Breezy Beach
254286,Chennai,Broken Bridge
254305,Chennai,Bhaktavatsala Perumal Temple
254307,Chennai,Bodyguard Muniswaran Temple
254339,Chennai,Burma Bazaar
254408,Chennai,Chennai Central Railway Station
254418,Chennai,Chandra Metro Mall
254442,Chennai,Challa Mall
254455,Chennai,C Bridha Devi Temple
254497,Chennai,Chandran Theatre
254498,Chennai,Chembarambakkam Lake
254896,Chennai,Chennai Citi Center
255086,Chennai,Chennai Metro Rail
255166,Chennai,Chennai Gurudwara Sahib
255384,Chennai,Chennai Rail Museum
255570,Chennai,Chennai Turtle Walk
255582,Chennai,Chetpet EcoPark
255678,Chennai,Children Museum
255679,Chennai,Cholamandal Artists' Village
255689,Chennai,Chinna Kadai Mariamman Temple
255752,Chennai,Connemara Public Library
255755,Chennai,Christ Church
255766,Chennai,Click Art Museum
255771,Chennai,Church of Our Lady of Expectations
255815,Chennai,Coming King Church
255816,Chennai,Coromandel Plaza
255827,Chennai,Church of Our Lady of Light
255832,Chennai,Dash N Splash
255836,Chennai,Creative Craft Centre
255838,Chennai,Cotton Alley
255844,Chennai,CSI Wesley English Church
255846,Chennai,Damini the Artisans of India
255847,Chennai,Devi Cineplex
255854,Chennai,Csi Emmanuel Church
255857,Chennai,CSI Church House Of Prayer
255860,Chennai,Culteran Andung Thar Church
255884,Chennai,Dhandeeswaram Temple
255914,Chennai,Dheenupureeswarar Temple
255916,Chennai,Dheeran Chinnamalai Statue
255930,Chennai,"Dhenupureeswarar Temple, Madambakam, Chennai"
255940,Chennai,Dhivyaraja Shruthi
255941,Chennai,Doveton House
255945,Chennai,Doll Mall
255960,Chennai,Dr. Antiques & Old Coins
255962,Chennai,Elliot's Beach
255984,Chennai,Dr.Arun's Photography And Vintage Camera Museum
256005,Chennai,Dr MGR Memorial House
256008,Chennai,Easel Art Gallery
256011,Chennai,Egmore Wesley Church
256303,Chennai,Express Avenue Mall
256352,Chennai,Emmanual Methodist Church
256383,Chennai,Ethnic Tanjore Arts
256402,Chennai,Evangeleal Church of India
257152,Chennai,Fort Museum
257182,Chennai,Faith In Jesus Assembly
257183,Chennai,Fit Rock Arena
257185,Chennai,Fashion Express
257187,Chennai,FarmGuru
257218,Chennai,Focus Art Gallery
257304,Chennai,Fort St. George
257491,Chennai,Gandhi Statue
257501,Chennai,Full Gospel Church
257513,Chennai,Full Gospel Telugu Baptist Church
257515,Chennai,Gallery of Shiva Arts
257526,Chennai,Game On
257547,Chennai,Gandhi Mandapam
257689,Chennai,Ganesh Ji Temple
257690,Chennai,Gold Souk Grande Mall
257692,Chennai,Gangadeeswarar Temple
257698,Chennai,Good Shepherd Church
257704,Chennai,Gaudiya Mutt
257723,Chennai,Good Shepherd Lutheran Church
257845,Chennai,Ganesh Karthik Temple
258010,Chennai,Guindy National Park
258050,Chennai,Gramathil Oru Naal
258071,Chennai,Greater Grace Church
258134,Chennai,Guindy Snake Park
258369,Chennai,Hameedia Shopping Mall
258373,Chennai,HHEC of India Ltd.
258375,Chennai,Hare Krishna Movement Sri Krishna Balarama Temple
258377,Chennai,Hi-Style
258379,Chennai,Gurubaran Tanjore Art Gallery
258384,Chennai,Independence Day Park
258385,Chennai,Hatke Gifts
258387,Chennai,Indhuvijay
258388,Chennai,Hobby Paradise
258389,Chennai,"Indian Institute Of Technology, Madras"
258619,Chennai,Inox Theatre
258719,Chennai,"ISKCON Chennai, Sri Sri Radha Krishna Temple"
258729,Chennai,IPlay
259020,Chennai,"Jagannath Temple, Kanathur"
259082,Chennai,J James & Co.
259140,Chennai,Jai Nagar Park
259152,Chennai,Jawaharlal Nehru Stadium
259163,Chennai,Jamal's Corner Shop
259165,Chennai,Jeeva Park
259170,Chennai,Kaaraneeswarar Temple
259189,Chennai,Jalakandeswarar Temple
259192,Chennai,Jesus Call Prayer Tower
259194,Chennai,Jireh Church
259195,Chennai,Kalikambal Temple
259215,Chennai,Kaalikaambaal Temple
259257,Chennai,Kachchaleswarar Temple
259466,Chennai,Kamakshi Amman Temple
259654,Chennai,Kandhakottam Temple
259666,Chennai,Kapaleeshwarar Temple
259706,Chennai,Kan Prafar Sada Vinayak Temple
259728,Chennai,Kani Arts
261947,Chennai,Kishkinta Theme Park
261977,Chennai,Kart Attack
261981,Chennai,Kashim Art Palace
261982,Chennai,Kasimedu Beach
261985,Chennai,Kasi Theatre
261992,Chennai,Khader Nawaz Khan Road - Chennai
262013,Chennai,Kovalam Beach
262103,Chennai,Kitchen e Lazeez
262115,Chennai,Kumaran Kundram
262141,Chennai,Kovur Sundareswarar Temple
262144,Chennai,Kundrathur Murugan Temple
262170,Chennai,Light House
262173,Chennai,Lakshmana Museum Of Arts
262213,Chennai,Lakshmi Narasimhar Temple
262226,Chennai,Life Changing Church
262237,Chennai,LIC Building
262443,Chennai,Little Mount Shrine
262524,Chennai,LIOA Art Gallery
262542,Chennai,M.A.Chidambaram Stadium
262582,Chennai,Loving Shepherd Church
262584,Chennai,Lladro Boutiques
262586,Chennai,Luz Anjaneyar Temple
262620,Chennai,Live Art Museum
262659,Chennai,Madhya Kailash Temple
262665,Chennai,Madras War Cemetery
262675,Chennai,Madhuramurali Ashram
262677,Chennai,Madras High Court
262712,Chennai,M.Rm.Rm. Cultural Foundation
262723,Chennai,Madras Kali Bari
262737,Chennai,Madurai Veeran Temple
262741,Chennai,Maha Bodhi Society of Srilanka
262748,Chennai,Mahalingapuram Shiva Temple
262749,Chennai,Mahalingapuram Sree Ayyappa Temple
262809,Chennai,Marina Beach
262899,Chennai,Malankara Orthodox Syrian Church
266502,Chennai,Marundeeswarar Temple
266562,Chennai,Marthomangiri Saint Mary Orthodox Chruch
266696,Chennai,Mayajaal Entertainment
266716,Chennai,Matsya Narayana Temple
266744,Chennai,Masjid E Javeed
266835,Chennai,MGR Memorial
266915,Chennai,Mayor Radhakrishnan Stadium
266918,Chennai,MGR Film City
266959,Chennai,Muttukadu Lake
266989,Chennai,Mundagakanni amman temple
267040,Chennai,Mundakaneeyaman Temple
267068,Chennai,Mylapore Fine Arts Club
267069,Chennai,Mylapore
267524,Chennai,National Art Gallery
267549,Chennai,Narada Gana Sabha
267553,Chennai,Natesan Park
267562,Chennai,Napier Bridge
267575,Chennai,Nithya Kalyana Venkatesa Perumal Temple
267577,Chennai,New Creation AG Church
267578,Chennai,Neelakantheswarar Temple
267581,Chennai,New Life Assembly of God
267585,Chennai,Our Lady of Lourdes Shrine
267594,Chennai,Padi Sivan Temple
267596,Chennai,P. Orr & Sons
267605,Chennai,Oriental Arts
267607,Chennai,Pachaiamman Temple
267617,Chennai,Pallikaranai Marsh Reserve Forest
267623,Chennai,Palavakkam Beach
267632,Chennai,Pallikondeswarar Temple
267633,Chennai,Palladium Mall
267661,Chennai,Parry's Corner
267671,Chennai,Panagal Park
267709,Chennai,Parasurama Easwara Temple
267811,Chennai,Parthasarathy Temple
268575,Chennai,Pondy Bazaar
268590,Chennai,Patalathri Narasimhar Temple
268641,Chennai,Peniel Family Church
268652,Chennai,Periyar Science & Technology Centre
268682,Chennai,Periaapaalayath Amman Temple
268748,Chennai,Pothys Hyper
268768,Chennai,Potters House Church
268770,Chennai,Queens Land
268785,Chennai,Prakasam Salai
268797,Chennai,Prakrit Arts
268798,Chennai,Prime Time
268801,Chennai,Puttaparthi Sairam Temple Sundaram
269024,Chennai,Ramakrishna Temple
269064,Chennai,Raj Bhavan Chennai
269079,Chennai,Qurasani Mosque
269081,Chennai,Rajani Raja Temple
269213,Chennai,Ranganatha Temple
269233,Chennai,Ramee Mall
269271,Chennai,Ripon Building
269281,Chennai,Ratnagirishwarar Temple
269292,Chennai,San Thome Church
269312,Chennai,Sacred Heart Shrine
269326,Chennai,S Bapathi St Church
269329,Chennai,RuKmini Devi Museum
269343,Chennai,Sai Baba Temple
270324,Chennai,RamyaSadasivams Art Gallery
270335,Chennai,Redeemed Christian Church of God
270336,Chennai,Saravana Stores
270362,Chennai,Semmozhi Poonga
270382,Chennai,Santhome Beach
270507,Chennai,Senate House
270636,Chennai,Skywalk (ampa Mall)
270646,Chennai,Shiva Vishnu Temple
270667,Chennai,Siruvapuri Sri Balamurugan Temple
270677,Chennai,Shree Ragavendra Mutt
270680,Chennai,Siva Vishnu Temple
270716,Chennai,Sivan Park
270784,Chennai,Sowcarpet
270830,Chennai,Spectrum Mall
270841,Chennai,Spencer Plaza
271026,Chennai,Sree Devi Preview Theatre
271027,Chennai,Sri Audikesava Perumal Peyalvar Temple
271034,Chennai,Sree Bakthavatsala Perumal Temple Tiruninravur
271041,Chennai,Sri Bala Kailasa Vinayagar Temple
271043,Chennai,Sri Bharadhan Handicrafts
271045,Chennai,Sri Ayyppa Sannidhi
271046,Chennai,Sri Hridayaleeswarar Temple
271061,Chennai,Sri Guru Nanak Sat Sangh Sabha Gurudwara
271064,Chennai,Sri Kandaswamy Temple Vasantha Mandapam
271069,Chennai,Sarvasiddhi Vijaya Vinayak
271074,Chennai,Sri Lakshmi Hayavadhana Perumal Templ
271076,Chennai,Sri Kurungaleeswarar Temple
271084,Chennai,Sri Krishna Gana Sabha
271088,Chennai,Sri Maha Prathyangira Devi
271097,Chennai,Sri Malleeswarar Temple
271098,Chennai,Sri Mallikeswarar Temple
271100,Chennai,Sri Nagathamman Temple
271102,Chennai,Sri Nag Devi Temple
271106,Chennai,Sri Othandeshwarar Temple
271107,Chennai,Sri Parvati Gallery
271109,Chennai,Sri Ramakrishna Math
271112,Chennai,Sri Nageswarar temple
271117,Chennai,Sri Ram Mandir
271129,Chennai,Sri Ramanaadheswarar Temple
271130,Chennai,Sri Sai Baba Bhaktha Samajam
271132,Chennai,Sri Raveeswarar Temple
271134,Chennai,Sri Sankara Narayanar Temple
271135,Chennai,Sri Santhana Srinivasa Perumal Temple
271144,Chennai,Sri Sevan Vinagar Temple
271147,Chennai,Sri Sundara Varadaraja Perumal Temple
271148,Chennai,Sringeri Saradha Peetam Temple
271158,Chennai,Sri Thiagarajarswamy Temple
271173,Chennai,Sri Uttara Guruvayurappan Temple
271182,Chennai,Sri Vashu Pujaya Swami Mandir
271194,Chennai,Sri Viswam Wooden Arts
271217,Chennai,St. Andrews Church
271226,Chennai,St George's Cathedral
271232,Chennai,Srinivasa Perumal Temple
271235,Chennai,St Mary's Church
271265,Chennai,"St.Antony Church , Armenien Street"
271276,Chennai,St Louis Church
271308,Chennai,St. Lukes Church
271344,Chennai,St Thomas English Church
271346,Chennai,St. Thomas Mount National Shrine
271402,Chennai,St.Teresa's Church
271404,Chennai,St Thomas Garrison Church
271670,Chennai,"T Nagar, Ranganathan Street"
271740,Chennai,Subramanya Bharathi Museum
272603,Chennai,The Anna Centenary Library
272613,Chennai,Tabernacle Visa Foods
272625,Chennai,Tamilnadu Science and Technology Centres
272643,Chennai,Tanjore Collections
272655,Chennai,Tara Books Book Building
272705,Chennai,The American Center
272885,Chennai,The Forum Vijaya Mall
273069,Chennai,The Faraway Tree Gallery
273323,Chennai,The Grand Mall
273379,Chennai,The Huddleston Gardens of Theosophical Society
273469,Chennai,The Rajiv Gandhi Memorial
273519,Chennai,The Metro Zone Mall
273538,Chennai,Thiruvanmiyur Beach
273551,Chennai,Thirumurugan Handicrafts
273554,Chennai,The Theosphical Society
273558,Chennai,Thiruvidanthai Temple
273592,Chennai,Thiruverkadu Devi Karumariamman Temple
273593,Chennai,Thol Isai Kalanjiyam
273594,Chennai,Tholkappia Poonga
273596,Chennai,Thyagaraja Temple
273598,Chennai,Thousand Lights Mosque
273606,Chennai,Tibetian Art Gallery
273607,Chennai,Tirupati Gangai Amman temple - Chennai
273609,Chennai,Tiffany's Antiques
273611,Chennai,Ubbalamadugu Falls
273621,Chennai,Tirusoolanathar Temple
273629,Chennai,University of Madras
273639,Chennai,Turf 137
273650,Chennai,Trinity Hall
273690,Chennai,Vadapalani Murugan Temple
273733,Chennai,V K Baraskar Artist & Gallery
274138,Chennai,Valluvar Kottam Monument
274207,Chennai,Vaitheeswaran Temple
274222,Chennai,VGP Golden Beach
274228,Chennai,Varadharaja Theatre
274237,Chennai,Varasidi Vinayakar Temple
274257,Chennai,Vaikuntha Perumal Temple
274259,Chennai,"Vedapureeswarar temple, Thiruverkadu"
274263,Chennai,Veerabhadra Swamy Temple
274266,Chennai,Velleeswarar Temple
274270,Chennai,Veda Gallery
274281,Chennai,Vengeeswarar Temple
274306,Chennai,Veltech College Of Engineering
274333,Chennai,VGP Marine Kingdom
274352,Chennai,VGP Snow Kingdom
274882,Chennai,VGP Universal Kingdom
275193,Chennai,Victory War Memorial
275251,Chennai,Vinyasa Art Gallery
275255,Chennai,Viswaroopa Adhivyadhihara Sri Bhaktha Anjaneyaswami Temple
275275,Chennai,Visaga Design India
275296,Chennai,Vinayagar Temple
275507,Chennai,Vivekananda House
275534,Chennai,Vivekananda House- Multimedia Cultural Museum
275692,Chennai,VR Chennai
275747,Chennai,Wild Tribe Ranch
275811,Chennai,Vivira Mall
275830,Chennai,Welcome Shopping Mall
275835,Chennai,Wallajah Mosque
275843,Chennai,Zylnn Antiques
275845,Vypin Island,Ayurveda Treatment Centre
275855,Vypin Island,Cherai Ayurvedic Bhavan Spa
275870,Chennai,Yoga Hyagreevar Perumal Temple
275990,Vypin Island,Cherai Ayurvedic Palace
276081,Vypin Island,Prakruthi Ayurveda Spa & Treatment Centre
276243,Sohra,Arwah Cave
276383,Vypin Island,Yogic Paradise
276444,Sohra,Dain-Thlen Falls
276548,Sohra,Double Decker Living Root Bridge
276588,Sohra,David Scott Memorial
276619,Sohra,Don Bosco Shrine
277287,Sohra,Duwan Sing Syiem View Point
277289,Sohra,Eco Park
277494,Sohra,First Presbyterian Church
277521,Sohra,Ka Khoh Ramhah
277601,Sohra,Khasi monoliths
277619,Sohra,Ka Kper Syiem Sohra
277623,Sohra,Kynrem Falls
277642,Sohra,Mawkdok Dympep Valley
277672,Sohra,Krem Lawshynna
277827,Sohra,Mawmluh Cave
277857,Sohra,Krem Phyllut
277858,Sohra,Mawsmai Cave
278590,Sohra,Nohkalikai Falls
279130,Sohra,Nohsngithiang (Seven Sisters) Falls
279459,Sohra,Rainbow Falls
279516,Sohra,Sa-I-Mika Park
279544,Sohra,Ramakrishna Mission Ashrama
279546,Sohra,Thangkharang Park
279634,Sohra,Wah Kaba Falls
279670,Sohra,Nongsawlia Church
279710,Sohra,Wakaba Falls
279719,Sohra,Tombs of Welsh Missionaries
279742,Cherthala,Thiruvizha Sree Mahadeva Temple
279745,Sohra,Wei Sawdong
279754,Cherthala,Arthunkal Beach
279762,Cherthala,Mararikulam Sree Mahadeva Temple
279765,Cherthala,"St Thomas Syro-Malabar Catholic Church ,Kokkamangalam"
279782,Cheyyar,Vedapureeswarar Temple
279790,Cheruthuruthi,Asuankundu Dam
279792,Chettikulam,Sri Bala Dhandayuthapani Swamy Temple
279793,Cheyyar,Sri Nava Narasimhar Temple
279795,Chhatarpur,Arhanta Yoga Ashram
279839,Chhachhrauli,Chhachhrauli Fort
279921,Chhatarpur,Ken Gharial Sanctuary
279927,Chhatarpur,Matangesvara Temple
279938,Chhatarpur,Raneh Falls
279954,Chhatarpur,Maharaja Chhatrasal Museum
279992,Chhatarpur,Gulganj Fort
280105,Chhindwara,Jam Sawali Hanuman Mandir
280106,Chhindwara,Patalkot Valley
280112,Chhatikara,Maa Vaishno Devi Dham
280132,Chhindwara,Chota Mahadev Cave
280149,Chhindwara,101 Ft. Hanuman Idol
280153,Chidambaram,Annamalai University
280163,Chhindwara,Kukdi Khapa Waterfall
280174,Chhindwara,Shri Badal Bhoi State Tribal Museum
280191,Chicolna,Heart Shaped Lake
280205,Chidambaram,Chathapurinathar Temple
280206,Chidambaram,Pichavaram Mangrove Forest
280209,Chidambaram,"Learn kayak, StandupPaddle, Surf & Outdoor camps"
280574,Chidambaram,Thillai Kali Amman Temple
280588,Chidambaram,Pitchavaram Backwater
280636,Chidambaram,Thillai Nataraja Temple
280827,Chidambaram,Tirunallurpperumanam Temple
280830,Chikhaldara,Gugamal National Park
280837,Chikhaldara,Bhimkund-Kichakdara
280846,Chidambaram,Tirunelvayil Temple
280849,Chikhaldara,Gawaligad Fort
280894,Chidambaram,Tiruvetkalam Temple
280908,Chikhaldara,Mozari Point
280917,Chikhaldara,Panchbol Point
280918,Chikhaldara,Semadoh Lake
280924,Chikhaldara,Wan Sanctuary
280925,Chikkaballapur,Avalabetta
280979,Chikka Madhure,Chikka Madhure Shani Mahatma Temple
280996,Chikkaballapur,Amaranarayana Temple
281046,Chikkaballapur,Bhoga Nandishwara Temple
281110,Chikkaballapur,Bhimeshwara Temple
281188,Chikkaballapur,Gudibande Fort
281194,Chikkaballapur,Kalavara Durga (Skandagiri)
281197,Chikkaballapur,CampHalli
281250,Chikkaballapur,Gummanayaka Fort
281253,Chikkaballapur,Discovery Village
281288,Chikkaballapur,Nandi Hills
282193,Chikmagalur,Amrutesvara Temple
282198,Chikmagalur,Annapurneshwari Temple
282219,Chikkaballapur,Nehru Nilaya
282264,Chikkaballapur,Surasadmagiri Hill
282267,Chikkaballapur,Yoganandeeshwara Temple
282373,Chikmagalur,Ayyana Kere
282395,Chikmagalur,Baba Budangiri
282798,Chikmagalur,Ballalarayana Durga Fort
282801,Chikmagalur,Belavadi
282827,Chikmagalur,Bhadra Wildlife Sanctuary
283028,Chikmagalur,Deviramma Temple
283048,Chikmagalur,Central Coffee Research Institution
283074,Chikmagalur,Galikere Lake
283085,Chikmagalur,Hebbe Falls
283100,Chikmagalur,Doddabale Siddaragudda Peak(Shivgiri Trails)
283154,Chikmagalur,Gangamoola Hill
283287,Chikmagalur,Hirekolale Lake
283423,Chikmagalur,Honnammana Halla Waterfalls
283429,Chikmagalur,Jhari or Dabdabe Falls
283437,Chikmagalur,Inam Dattatreya Peetha
283440,Chikmagalur,Jhari Waterfalls
283630,Chikmagalur,Kadambi Falls
283632,Chikmagalur,Kalasa
283675,Chikmagalur,Kalhatti Falls
283792,Chikmagalur,Kemmangundi Peak
283805,Chikmagalur,Kodandaramaswami Temple
283808,Chikmagalur,Kudremukh National Park
283934,Chikmagalur,Kudremukh Peak
284013,Chikmagalur,Lakya Dam
284032,Chikmagalur,Mullayanagiri
284082,Chikmagalur,Madagadakere Lake
284099,Chikmagalur,Kere Anjaneya Temple
284122,Chikmagalur,Malayala Brahma Temple
285583,Chikmagalur,Muthodi Wildlife Sanctuary
285611,Chikmagalur,Shankar Falls
285621,Chikmagalur,Shanti Falls
285645,Chikmagalur,Sharada Temple
285655,Chikmagalur,Rajendra Hill
285673,Chikmagalur,Rock Garden
285698,Chikmagalur,Sri Veeranarayana Temple
285708,Chikmagalur,Shri Jagadguru Badari Shankaracharya Samsthanam
285739,Chikmagalur,Sri Adishankaracharya Sharada Lakshminarasimha Peetam
285745,Chikmagalur,Sri Kalabhairaveshwara Temple
285755,Chikmagalur,Sri Parsawanath Tirthankara Jain Temple
285843,Chikmagalur,Sringeri Mutt
286176,Chikmagalur,Torana Ganapati Temple
286180,Halebid,Yagachi Dam
286204,Chikmagalur,STJ Junior College
286218,Chikmagalur,Thirumaleguppi
286226,Chikmagalur,Z Point
286367,Chinchoti,Chinchoti Water Falls
286427,Chinnamanur,Sethu Karai Hanuman Temple
286430,Chiplun,Parshuram Temple
286433,Chindi,PWD Rest House
286438,Chinsurah,Susana Anna Maria Monument
286455,Chintamani,Yagavakote Village
286477,Chiplun,Dr Babasaheb Ambedkar Hall
286479,Chiplun,Gowalkot Fort
286482,Chiplun,Nehru Smriti Udyan
286499,Chiplun,Sawatsada Waterfall
286504,Chiplun,Vashishti River
286540,Chirala,Ramapuram Beach
286566,Chiplun,Trimukhi Triguni Aai Shree Varadan Manai Mandir
286615,Chiplun,Walavalkar Shivaji Museum
286625,Chitkul,Chhitkul
286691,Chitradurga,Ankali Mutt
286694,Chitradurga,Adumalleshwara Temple
286702,Chitkul,Mathi Temple
286703,Chitradurga,Chandravalli Caves
286731,Chitradurga,Chitradurga Fort
287039,Chitradurga,Vani Vilas Sagar Dam
287052,Chitradurga,Hidimbeshwar Temple
287066,Chitradurga,Gayatri Jalashaya
287076,Chitradurga,Doddahotrangappa Hill
287083,Chitradurga,Dasaratha Rameshwara
287086,Chitradurga,Kugo Bande and Shouting Rock
287103,Chitradurga,Jamia Masjid
287159,Chitrakoot,Gupt Godavari Caves
287226,Chitrakoot,Bharat Milap Mandir
287234,Chitrakoot,Bharat Koop
287241,Chitrakoot,Janaki Kund
287245,Chitrakoot,Ganesh Bagh
287252,Chitrakoot,Hanuman Dhara Temple
287282,Chitrakoot,Kamadgiri Temple
287307,Chitrakoot,Kamtaji Temple
287331,Chitrakoot,Ram Ghat
287378,Chitrakoot,Sati Anusuya Temple
287398,Chitrakoot,Sphatik Shila
287459,Chittaurgarh,Chittaurgarh Fort
287516,Chittaurgarh,Bassi Wildlife Sanctuary
287537,Chittaurgarh,Bhainsrodgarh Wildlife Sanctuary
287939,Chitrakoot,Sita Rasoi
288269,Chittaurgarh,Chittorgarh Fort
288306,Chittaurgarh,Fateh Praksah Palace Museum
288322,Chittaurgarh,Gaumukh Reservoir
288424,Chittaurgarh,Kalika Mata Temple
288462,Chittaurgarh,Meera Temple
288502,Chittaurgarh,Kumbha Shyam Temple
288503,Chittaurgarh,Maha Sati
288523,Chittaurgarh,Mahanal Temples and Math
288624,Chittaurgarh,Padmini's Palace
288779,Chittaurgarh,Rana Kumbha Palace
288847,Chittaurgarh,Ratan Singh Palace
288851,Chittaurgarh,Phatta's Memorial (Ram Pol)
288873,Chittaurgarh,Samadhisvara Temple
288876,Chittaurgarh,Sanwariaji Temple
288935,Chittaurgarh,Satbis Deori Temple
288960,Chittaurgarh,Shyam Temple
288968,Chittaurgarh,Tower of Fame (Kirti Stambh)
289038,Chittaurgarh,Suraj Pol
289049,Chittaurgarh,Sita Mata Wildlife Sanctuary
289105,Chittaurgarh,Vijay Stambha
289212,Chittaurgarh,Tulja Bhawani Temple
289392,Chittoor,Horsley Hills
289432,Chittoor,Bans Water Park
289456,Chittoor,Durgambika Temple
289469,Chittoor,Chandana Ramesh Shopping Mall
289633,Chittoor,Kailasakona Waterfalls
289639,Chittoor,Kaigal Waterfalls
289650,Chittoor,Nagalapuram Falls
289682,Chittoor,Kaundinya Wildlife Sanctuary
289699,Chittoor,Kumaradhara Theertham
289710,Chittoor,Mallamma Temple
289714,Chittoor,Pandava Theertham
289715,Chittoor,Parasuramesvara Temple
289720,Chittoor,Pasupu Teertham
289721,Chittoor,Sahasra Linga Temple
289727,Chittoor,Rishi Valley School
289736,Chittoor,Sri Kapileswaraswami Temple
289752,Chittoor,Sesha Teertham
289753,Chittoor,Tada Falls
289786,Chittoor,Sri Kalyana Venkateswaraswami Temple
289805,Chittoor,Sri Venkateswara Dhyana Vignan Mandiram
289814,Chittoor,Swami Pushkarini Lake
289816,Chittoor,Sri Subrahmanya Swamy Temple
289831,Chittoor,Valeeswarar temple
289832,Chopdem,Flyboard India
289840,Chowara,Chowara Beach
289879,Chopta,Welcome Himalayas Trek
289889,Chorla,Sada Falls
289893,Chorwad,Chorwad Beach
289905,Chorwad,Shree Chorwadi Zund Bhavani Mataji Temple
289944,Chundale,Asdani Adventures
289952,Chumathang,Chumathang Hot Spring
290016,Chowara,Thriphala Ayurveda Panchakarma Clinic
290074,Churu,Fresco Painted Havelies
290093,Chuntang,Confluence of Lachen Chu and Lachung Chu
290094,Chundale,Tea Town Kerala - Wayanad
290101,Chuntang,Gurudwara Nanak Lama Chungthang
290104,Churachandpur,Khuga Dam
290109,Churu,Kanhaiyalal Bagla Haveli
290113,Churu,KUKU Fun Zone
290127,Churu,Laxminrayanji Temple
290131,Churu,Sethani Ka Johara
290141,Coimbatore,Adiyogi Shiva
290191,Churu,Ratangarh Fort
290232,Churu,Sri Shantinath Bhagwan Mandir
290571,Coimbatore,Aliyar Dam Reservoir Park
290638,Coimbatore,Aliyar Dam
290720,Coimbatore,Amaravathi Dam
290728,Coimbatore,Anubhavi Subramaniar Temple
290753,Coimbatore,Arulmigu Koniamman Temple
290792,Coimbatore,Arulmigu Patteeswarar Swamy Temple
290982,Coimbatore,Arulmigu Lakshmi Narashima Swamy Thirukoil
291100,Coimbatore,Ayappan Pooja Sangam Temple
291127,Coimbatore,Bhavani Sagar Dam
291161,Coimbatore,Bethesda International Prayer Centre
291197,Coimbatore,Black Thunder Theme Park
291378,Coimbatore,Brookefields Mall
291973,Coimbatore,Central and Kanakadhara Theatres
291974,Coimbatore,Codissia Trade Fair Complex
292136,Coimbatore,Dhanwanthari Temple
292137,Coimbatore,Dharmalingeshwarar Temple
292139,Coimbatore,Dhyanalinga Temple
293016,Coimbatore,Eachanari Vinayagar Temple
293249,Coimbatore,Fun City Mall
293340,Coimbatore,G.D. Naidu Industrial Exhibition
293373,Coimbatore,Gass Forest Museum
293402,Coimbatore,Gedee Car Museum
293554,Coimbatore,ISKCON Coimbatore
293599,Coimbatore,Karaimadai Ranganathar Temple
293612,Coimbatore,Infant Jesus Church
293628,Coimbatore,"Insect Museum, TNAU"
293632,Coimbatore,Kodiveri Dam
293693,Coimbatore,Kasthuri Sreenivasan Trust Art Gallery and Textile Museum
293707,Coimbatore,Kovai Kondattam
293713,Coimbatore,Kovai Kondattam Theme Park
293720,Coimbatore,Kovai Kutralam Water Falls
293722,Coimbatore,Kolavizhi Amman Temple
293723,Coimbatore,Kottai Hidayathul Islam Safia Jamath Mosque
