,City,Place
1267606,Sakleshpur,Bettada Byraveshwara Temple
1267613,Sainthia,Nandikeshwari Temple
1267614,Sajan,Moho Khurd Dam
1267615,Saiha,Palak Lake
1267617,Sakleshpur,Bisle Ghat View Point
1267692,Sakleshpur,Mangalore to Bangalore Dream Route
1267708,Sakleshpur,Manjarabad Fort
1267958,Sakleshpur,Sakaleswara Temple
1267979,Sakti,Monastero Tak Thok
1267984,Sakleshpur,Manjehalli Waterfalls
1267991,Salangpur,Kashtabhanjan Hanuman Mandir
1268011,Sakti,Takthok Monastery
1268111,Salasar,Salasar Balaji Temple
1268378,Salem,1008 Lingam Temple
1268388,Salawas,Ramesh Mundal Durry Udhyog
1268407,Salasi,Rukmani Kund
1268491,Salem,Bathrakaliamman Temple
1268503,Salem,Bagawath Ramanujar Manimandapam
1268507,Salem,EllaiPedari Amman Temple
1268514,Salem,"ISKCON Salem, Sri Sri Radha Gokulananda Temple"
1268521,Salem,Kailasanathar Temple
1268540,Salem,Arulmigi Alagirinathar Temple
1268550,Salem,Kurumpapatti Zoological Park
1268552,Salem,Kottai Mariamman Temple
1268582,Salem,Mettur Dam
1268640,Salem,Linga Bhairavi Temple
1268692,Salem,Paravasa Ulagam Water Theme Park
1268698,Salem,Sankagiri Fort
1268711,Salem,Poiman Karadu
1268735,Salem,Siddhar Temple
1268755,Salem,Periyandichi Amman Temple
1268756,Salem,Salem Mango
1268758,Salem,Sathya Narayana Sithar Beedam
1268773,Salem,Skandasramam Temple
1268784,Salem,Sri Dandayuthapani Temple
1268799,Salem,Sugavaneshwarar Temple
1268804,Salem,Sri Paanduranganathar Temple
1268810,Salem,Sri Radha Madan Mohan Temple
1268814,Salem,Sri Ramar Temple
1268823,Salem,Silk Farm
1268843,Salem,The Grange
1268851,Salem,Yercaud
1269001,Salem,Sri Sri Sri Maha Periava Gruham
1269352,Salud Dugra,Kuari Pass
1269354,Saligrama,Guru Narasimha Temple
1269369,Saligrama,Yoga Narasimha Temple
1269370,Salkanpur,Vindhyavashni Beejasan Ma Temple Salkanpur
1269376,Samaguri,IFAW  Centre for Wildlife Rehabilitation and Conservation
1269377,Samana,Gurudwara Shri Thada Sahib
1269378,Salogra,Krol Ka Tibba
1269380,Samastipur,Jageshwar Asthan
1269385,Samastipur,Khatushyam Mandir
1269391,Samayapuram,Samayapuram Mariamman Temple
1269411,Sambalpur,Budharaja Temple
1269415,Samastipur,Mannipur Temple
1269443,Sambalpur,Badarama Wildlife Sanctuary
1269447,Sambalpur,Balunkeswar Temple
1269450,Sambalpur,Batamangala Temple
1269464,Sambalpur,Budhimaa Temple
1269465,Sambalpur,Debrigarh Wildlife Sanctuary
1269490,Sambalpur,Cattle Island
1269510,Sambalpur,Dadhibaman Temple
1269523,Sambalpur,Ghanteswari Temple
